gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000237541.3,HLA-DQA2,5.267029836240126,0.2283064906109551,1.3864867982233438e-07,0.6270999286429617,NA,NA,NA,2,3,3,2.1991142670978056e-05,1.0445156050362199
ENSG00000128604.19,IRF5,4.5887131690979,0.5699859982452293,4.459867308230322e-06,0.026056161779451775,NA,NA,NA,1,1,1,4.459867308230322e-06,0.245655157198718
ENSG00000169385.2,RNASE2,4.460543155670166,11.32221344352895,8.175219388874293e-06,8.464894321125092e-05,NA,NA,NA,1,1,1,8.175219388874293e-06,0.0144927492153739
ENSG00000196735.11,HLA-DQA1,-4.282824993133545,-0.47579871728440265,1.84535312387317e-05,0.11162207986228219,NA,NA,NA,1,1,1,1.84535312387317e-05,0.489555754436322
ENSG00000161265.14,U2AF1L4,-4.21524973745707,-0.14107998227086727,2.4950193528065714e-05,0.4009332412750105,NA,NA,NA,3,3,3,0.00020588939230063816,0.889825959478936
ENSG00000232629.8,HLA-DQB2,4.029173517238768,0.17881150817659344,5.5973293206377425e-05,0.6537354745115362,NA,NA,NA,2,2,2,6.561851478890086e-08,0.970744795308333
ENSG00000157827.19,FMNL2,-3.757300828027621,-5.7969634898372036,0.00017175597334979535,0.0002722969038031422,NA,NA,NA,2,2,2,0.00022716996501674042,0.0575666912571998
ENSG00000110104.11,CCDC86,3.6874678297397163,0.9510403133363364,0.0002264967174166241,0.008234014391449294,NA,NA,NA,2,2,2,0.0003461683220150871,0.189330043802525
ENSG00000272384.1,RP11-44N11.2,-3.663838386535645,-3.91865356333596,0.0002484635914584362,0.00044599420630113726,NA,NA,NA,1,1,1,0.00024846359145843673,0.0329475412697846
ENSG00000267796.7,LIN37,-3.648118019104004,-0.8120999314731282,0.0002641682926656262,0.009211911198410836,NA,NA,NA,1,1,1,0.0002641682926656262,0.187612378840647
ENSG00000249476.1,CTD-2587M2.1,3.6428508133682707,0.19823444580261956,0.0002696351275609764,0.16397516399801101,NA,NA,NA,2,2,2,0.00026998679824826713,0.6762791107172189
ENSG00000172315.5,TP53RK,-3.6371142864227295,-14.109675677980613,0.0002757096185984231,2.7173273307797193e-05,NA,NA,NA,1,1,1,0.0002757096185984231,0.009676338642784471
